Data of Tweet,Tweet Content
2022-05-03 23:59:45+00:00,AKING PRESIDENTE LENI ROBREDO! VISE PRESIDENTE KIKO PANGILINAN LEZGOOO🎀🌸🌷
2022-05-03 23:59:21+00:00,@ShorTempered8 @meizmarks @taIkingtummy Leni Robredo
2022-05-03 23:59:09+00:00,"PILIPINAS, 'WAG NATING SAYANGIN SI LENI ROBREDO. https://t.co/0Nz5jETSTI"
2022-05-03 23:58:39+00:00,"@Melbert15227228 @manilabulletin The best yung pink pauupo na siya sa malacanyang 
Si Ma'am Leni Robredo
#10LeniRobredoPresident 
#7KikoPangilinanVicePresident 
💗🌸🌷🇵🇭"
2022-05-03 23:58:26+00:00,"Ipakalat po ito sa Facebook walls ninyo, my day, my story sa instagram, group chats po ninyo. Bayanihan para ipanalo si Leni Robredo sa darating na halalan. #LeniRobredo https://t.co/Um4sTvBaff"
2022-05-03 23:57:49+00:00,Bongbong Marcos #7 sa Balota ❤💚 https://t.co/99e5IbTRVh
2022-05-03 23:57:37+00:00,"@lvjnalln @richiefsc Walang pera at lalung hindi tanga ang buboto kay bbm.sadyang hindi lang namin makitaan ng sapat na galing ang manok nyo para pamunuan ang bansa.saka pag nagsasalita walang sinseridad, parang palaging nagbabasa ng script.HINDI KARAPAT-DAPAT MAMUNO ANG TULAD NI LENI ROBREDO."
2022-05-03 23:57:35+00:00,"Manifesting ‼️Panalo na to!!!

Malakas ang aking pakiramdam na mangyayari ang totoong VICTORY ng bawat Pilipino! at ang exciting part ay ang PRESIDENTIAL INAUGURATION ng ating pinakamamahal na si Pres. Leni Robredo. 💕💞💖🌸

#LetLeniLead #LetLeniKikoLead #LenSlide #KakampINC https://t.co/9PrT3qZQLN"
2022-05-03 23:57:06+00:00,"Please help support Leni for President 2022, add a #Twibbon now! https://t.co/sDRes8VOfY"
2022-05-03 23:56:42+00:00,"Misogyny has become a defining feature of some mainstream political movements in democracies, as well as dictatorships. The Philippines, which next week elects a successor to President Rodrigo Duterte, is not the only example. @cheskareports @NikkeiAsia https://t.co/Fbf5ZWVeMH"
2022-05-03 23:56:39+00:00,A lot of people put too much weight on the INC vote. But they'll choose any front runner they see will benefit their long term goals. We can do the exact same thing with this movement we've created around Leni Robredo. It's an incredibly powerful political force for change
2022-05-03 23:56:28+00:00,"Kaya kayang banggitin ni mike enriquez  yung phrase na ""President Bongbong Marcos"" nang hindi inuubo?

Malamang lalo pang lumala.

😂😂😂"
2022-05-03 23:56:28+00:00,"“Dahil po sa inyo… kayo ang nagsimula, kayo ang magtatapos.”

In his speech at UniTeam Visayas miting de avance in Guimbal, Iloilo (May 3), Bongbong Marcos hails supporters for taking the lead in efforts to unite the nation even before May 9, the day of the polls. https://t.co/YUw0zZtjFP"
2022-05-03 23:54:56+00:00,"Baka kasi ang ""Change is coming"" ni Digong noon ay si Leni Robredo talaga. Si Leni ang tunay na pagbabago na di natin namalayan at ngayon kumbaga ""papunta pa lang tayo sa exciting part"". 

Kaya #IpanaloNa10ParaSaLahat 🌸"
2022-05-03 23:53:04+00:00,"Ferdinand Bongbong, Generasi Marcos yang Ingin Juga Jadi Presiden Filipina https://t.co/F5NfCeAWPV"
2022-05-03 23:52:49+00:00,"Pamilya ko, para sa inyo rin 'to kaya ko iboboto si Leni Robredo😭 https://t.co/E1c34YHgEK"
2022-05-03 23:52:24+00:00,"I can't vote yet, but my president is Leni Robredo and my vice president is Kiko Pangilinan. 

#LeniKikoAllTheWay2022 #LeniKiko2022 #LeniForPresident2022 #KikoForVicePresident2022"
2022-05-03 23:52:17+00:00,"In a video message, Vice President Leni Robredo underscored the need to uplift the lives of every Filipino, especially those in the fringes who almost lost hope during the pandemic.

https://t.co/lSfMi17sz5"
2022-05-03 23:52:05+00:00,"Matagal na akong dumating sa point na kapag Die Hard BBM yung kausap ko I won’t waste my time. Decided na sya eh. So, I’ll talk to people who are UNDECIDED that is willing to hear why they should vote for VP Leni Robredo 💕🌷"
2022-05-03 23:51:36+00:00,@vraie_jn @meizmarks @taIkingtummy Well as far as I know. Leni Robredo does not have any bad backgrounds.
2022-05-03 23:51:34+00:00,"Ako si  Tash na isang filo army, nakiki-isa sa pagsuporta kay VP Leni Robredo at Sen. Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap. Tara, samahan ninyo kami na kulayan ng Rosas ang ating Kinabukasan!
#LetLeniKikoLead"
2022-05-03 23:49:45+00:00,"Ako si Tash na isang filo atiny, nakiki-isa sa pagsuporta kay VP Leni Robredo at Sen. Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap. Tara, samahan ninyo kami na kulayan ng Rosas ang ating Kinabukasan! 
#LetLeniKikoLead"
2022-05-03 23:48:51+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat!""

Ako si Sir Bell, isang guro mula sa ACD, nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap."
2022-05-03 23:48:36+00:00,"Ferdinand 'Bongbong' Marcos Jr, pictured at Oxford University, is set to be Philippines president and oversee the hunt for $10b plundered by his parents when they ruled. For decades, it's an effort Marcos Jr has tried to thwart at every turn. w/@karenlema  https://t.co/1VpRfSIT4P https://t.co/sUD5Vz2B8D"
2022-05-03 23:47:22+00:00,"Sara Duterte: Bongbong Marcos will never sleep with the enemies of the state, never. https://t.co/xKADfjckFR"
2022-05-03 23:47:03+00:00,"It wasn't clear what Marcos was referring to. But in 2016, Marcos lost to Vice President Leni Robredo in the VP elections. He contested the results of the elections and filed an electoral protest, but the Supreme Court eventually dismissed it.

https://t.co/v2m6WwFAYe"
2022-05-03 23:46:48+00:00,"Hindi ako kinakabahan, hindi ako natatakot emz pero seryoso i’m claiming this. LENI ROBREDO WILL WIN AS THE 17TH PRESIDENT OF THE PHILIPPINES and KIKO PANGILINAN WILL WIN AS VP OF THE PHILIPPINES ✨✨ https://t.co/DZ3nGpcvTo"
2022-05-03 23:46:27+00:00,"I really don't know why there are still some people who wants to vote Bongbong Marcos‽‽‽ I mean, hindi pa ba sapat na isinasampal sainyo harap harapan kung anong klaseng tao siya at kung anong klase ng  pamamahala ang maibibigay niya??? WHAT A SHAME!!!!🐊"
2022-05-03 23:46:24+00:00,"🗳 https://t.co/t3Wy7oWYx7 🇵🇭 | My Preferred Candidates
NATIONAL CAPITAL REGION (NCR) - METRO MANILA • CITY OF PARAÑAQUE DIST 2

PRESIDENT
⚫ 10. ROBREDO, LENI (IND)

VICE PRESIDENT
⚫ 7. PANGILINAN, KIKO (LP)"
2022-05-03 23:46:21+00:00,"At ang false churvey nila hanggang april 21 lang.😂 Hindi kasama ang mga endorsements ng mga bigating celebrities, mga nag shift from ibang camps to Leni Robredo's camp. By God's Grace, bicolana na ang susunod na Pangulo!🙏🌸💖"
2022-05-03 23:44:56+00:00,"nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap. 

Tara, samahan ninyo kami na kulayan ng Rosas ang ating Kinabukasan!

Frame by: Japet Hosiah Peña"
2022-05-03 23:43:26+00:00,"In a video, presidential candidate Ferdinand ""Bongbong"" Marcos Jr. calls on the  public to vote on May 9. He also says the public should ""protect"" their votes. 

He says: ""Protektahan po natin ang ating naging desisyon at ‘wag po nating hayaang ito’y muling nakawin sa atin."" https://t.co/PZBFSVeOWV"
2022-05-03 23:43:08+00:00,Maraming salamat sa pamunuan ng Iglesia Ni Cristo sa pag-endorso kina Bongbong Marcos at Inday Sara. Makakaasa po kayo hindi kayo nagkamali sa pagpili sa #UNiTeamBBMSARA.
2022-05-03 23:42:11+00:00,@taIkingtummy Wag tayo magpakabulag at bingi.piliin natin Ang Tama at Hindi bahid ng curruption si VP Leni Robredo lng Ang karapatdapat maging Presidenti.🌷🌷🌸🌸💕💕
2022-05-03 23:41:06+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat!""

Ako si Angel isang bb girl, nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap. 

(how I wish kaya ko magganto sa epbi)"
2022-05-03 23:41:02+00:00,"Leni is the best option in this election, so don't waste her. This is our last chance! After this, the Robredo's sister will not give their mama to us again."
2022-05-03 23:40:45+00:00,"iisa ko sa pamilya namin na ang sinusuportahan ay si Leni.

i was BBM lately. pero nung nagkaroon ako ng chance to do my own research about Leni Robredo. Omg, G na ako sa kanya. Well, i did din naman sa ibang candidates na magresearch on my own. Pero Leni is clean and deserving."
2022-05-03 23:40:38+00:00,Iglesia Ni Coleen endorsed Leni Robredo https://t.co/oXBIQMw4lD
2022-05-03 23:40:29+00:00,@Annaabes Yes Mami Bang Isigaw Ang Presidente Leni Robredo Bise Presidente Kiko pangilinan . Gobyerning tapat Angat buhay lahat!
2022-05-03 23:40:14+00:00,"""Kung ang dalawang testimonya mo ay nagkakabanggan, talagang magkakaroon ng duda maski sinong tao."" - Ping Lacson

Aayusin naba ni Ping Lacson ang Gobyerno at ang buhay ng mga Pilipino?

5 days na lang, #BilangPilipino2022 na! 🇵🇭
#BotantengFrontliner #IBAsa5 https://t.co/au7cR4SUzb"
2022-05-03 23:39:41+00:00,"@jerstrucked Hahahahaha pinoy eh. Either way its the same. Kung sino man ang iendorso ng INC na manok nila sure ako may mag didiwang eh 🤣🤣🤣 #PinoyCulture 

Kung si Ping Lacson inendorso nila makiki celebrate ako eh 🤣🤣🤣 im sure pinklawans din will do the same 🤷 unfortunately BBM/SARA 🤷"
2022-05-03 23:39:19+00:00,"""Sa Gobyernong Tapat, Angat Buhay Lahat!""

Ako si MightyJack25 isang simpleng tao, nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap. https://t.co/2ziGFC40fs"
2022-05-03 23:38:58+00:00,"@deguzmanchad you've ur facts wrong...

It's the other way around...

#KayLeniTalo has most of the wokes (30 yrs old and below). Some, if not most, aren't even eligible to vote...

#KayLeniPatayTayo
 https://t.co/Kmo1AnCpUF"
2022-05-03 23:38:51+00:00,"Supporting Leni Robredo🌷💕💕
#LeniKiko2022 https://t.co/0B1t8oL4j9"
2022-05-03 23:38:17+00:00,"nakakahiya sakanya na last month nya lang nalaman na VP si Leni Robredo e, kesyo di daw nila yun pinag aaral. she's already 19 and she doesn't have knowledge in politics. ang reason nya pa nga kung bakit ayaw nya kay Leni ay ""ayoko lang babae ang mamuno, gusto ko lalaki."" +"
2022-05-03 23:38:05+00:00,"MILF Abdullah “Commander Bravo” Macapaar will lead the the arrival of VP Leni Robredo in Pantao- Ragat, Lanao del Norte today."
2022-05-03 23:37:50+00:00,"I took The Blind Test and my top candidate is Leni Robredo.

 https://t.co/d9usnKpfcD"
2022-05-03 23:37:46+00:00,"I heard a rumor, Leni Robredo will be the next President of the Philippines.
#UmbrellaAcademylovers4lenikiko"
2022-05-03 23:37:24+00:00,"From Vice President Leni Robredo to President Leni Robredo next week!! I'm claiming it na

#LenSlide
#GobyernongTapatAngatBuhayLahat"
2022-05-03 23:36:01+00:00,"Presidential candidate Leody de Guzman and his running mate, former congressman Walden Bello, have received an endorsement from American intellectual, social critic, and author Noam Chomsky. https://t.co/F2WaVLmbJA"
2022-05-03 23:35:56+00:00,"Please help support Leni for President 2022, add a #Twibbon now! https://t.co/u2nmXQDy0I"
2022-05-03 23:35:29+00:00,"i'am INC and my president is
LENI ROBREDO. #LeniKiko2022"
2022-05-03 23:34:20+00:00,Yung Sa Tweets UMAASA ang Leni Robredo Campaign. Mahabagin. Akala nila makakaiskor pa sila
2022-05-03 23:34:19+00:00,okay lang bumagsak basta si Leni Robredo ang Presidente HAHAHAHAHAHAHAHAHA charizzzz https://t.co/8oIuCTHIPc
2022-05-03 23:34:05+00:00,"@Annaabes @_DonBelle5ever_ I am with you mami. Bubs, magtimpi pa more. Focus on DB.  Nakiki-ride lang yung ibang fandoms sa ingay. Don't give it to them.  Dun tayo sa siguradong mahal tayo.
Ang Presidente, Leni Robredo
Bise Presidente, Kiko Pangilinan"
2022-05-03 23:33:41+00:00,@chuckiedreyfus Huwag po tayo gumawa ng dahilan para hindi makaboto. Mahalaga po ang bawat boto ni VP Leni Robredo kung papaniwalaan ang mga surveys.
2022-05-03 23:33:41+00:00,"The 2022 election triumph of Ferdinand “Bongbong” Marcos Jnr, the son of former dictator Ferdinand Marcos, could further destabilise the status quo.
Here is the real story: During their three decades in control, the liberals failed the People Power movement."
2022-05-03 23:33:22+00:00,"Someone just educated me about aspiring President Leni Robredo and it’s okay… but, you know, I’m one of those “anyone but Leni” peepz. I won’t vote for someone who can’t even remember even 1 of the law she passed or worse the title of her favorite book. 😊 so… LMA."
2022-05-03 23:33:13+00:00,"With less than a week before the elections, former Senator Antonio Trillanes IV is giving four tips on how to propel the chances of Vice President Leni Robredo win the presidential elections.
https://t.co/BOC3pxDlKO"
2022-05-03 23:30:58+00:00,ICYMI. Religious group Iglesia ni Cristo has officially endorsed Ferdinand “Bongbong” Marcos Jr. and Sara Duterte for president and vice president in the 2022 elections. #PHVote #WeDecide  https://t.co/WAOqXl0Qvf
2022-05-03 23:30:16+00:00,"Nasa tao ang gawa, nasa Diyos ang awa. If we expect better things to happen tomorrow, we must forgo with the same things we've done in the past. Vote for a new pro-people president, Isko Moreno Domagoso for a realistic prog that will improve our living conditions. #SwitchToIsko https://t.co/40szOALMmd"
