Data of Tweet,Tweet Content
2022-05-05 23:59:07+00:00,"Bongbong, el hijo del dictador Marcos, favorito en Filipinas
#123INFO
https://t.co/Y9zMASPR5P"
2022-05-05 23:58:55+00:00,"Maria Leonor “Leni” G. Robredo, 17th President of the Republic of the Philippines cutie ✨"
2022-05-05 23:58:40+00:00,"Ako , si Yoon, asawa ni do kyungsoo, ni kodzuken and 99+ others, isang PILIPINO, nakiki-isa sa pagsuporta kay Vice President Leni Robredo at Senator Kiko Pangilinan kasama ang Tropa ng Senatorial Slate para sa bayan na matagal na nating pinapangarap."
2022-05-05 23:58:35+00:00,@TrillanesSonny Done voting and I am confident and proud that Wala akong iniwan n khit Isa sa team Leni Robredo.praying for the win ninyong lahat sir Sen.Trillanes
2022-05-05 23:58:15+00:00,"The Communist Party of the Philippines (CPP) accused the tandem of dictator’s son Ferdinand “Bongbong” Marcos Jr. &amp; Davao city Mayor Sara Duterte of “pouring funds to create the false image of an insurmountable lead against other candidates""

https://t.co/2LCwBaRUQB via @yahooph"
2022-05-05 23:57:33+00:00,#Afghanistan Bongbong Marcos: The man attempting to revive a corrupt political dynasty https://t.co/7pkKb4qkjr #Afghanistan
2022-05-05 23:56:26+00:00,"LOOK: Presidential candidate Manila Mayor Isko Moreno Domagoso thanks Cebuanos who attended the “Isinggit Nato, Isko!” ISKOncert rally  in Cebu on Thursday. #VotePH #OurVoteOurFuture | 📷Isko Moreno https://t.co/nrpdO85b7o"
2022-05-05 23:55:43+00:00,"feeing ko natatae ako pero kabado lang pala, jusko hanggat di ko nakikitang lamang ng 5 million votes si Leni Robredo, di na ata mawawala tong pakiramdam na to

#anxiousforleni
#Ipana7oNa10ParaSaLahat 
#AngatBuhayLahat"
2022-05-05 23:55:37+00:00,"In gathering massive crowds in different sorties, Vice President Leni Robredo 'bypasses' the need to focus on securing local leaders' support, Senate Minority Leader Franklin Drilon says. #PHVote #PHVoteRobredo #WeDecide  https://t.co/z6LYtCST6X"
2022-05-05 23:55:35+00:00,"Lord, pls Ang tanging dasal ko lang ay para sa mapayapang election, at ibigay nio po sa Amin Ang Isang Leni Robredo at Kiko Pangilinan na may mabuting hangarin sa bansa, Masunod nawa Ang loob mo Lord at Hindi Ang aming personal na interest. Amen😇🙏"
2022-05-05 23:55:09+00:00,"Presidential candidate Sen. Panfilo Ping Lacson (@iampinglacson) on Thursday bared that his second attempt to win the presidency would be his last since he is retiring from public office.

FULL STORY: https://t.co/Q9syDpfX6w"
2022-05-05 23:53:51+00:00,Ipagdrive mo ako ulit anak! Puntahan natin si Yorme Isko Moreno Domagoso sa Malacañang sa July!! https://t.co/rUeEgZ3rgc
2022-05-05 23:53:30+00:00,"Presidential candidate Sen. Panfilo Ping Lacson (@iampinglacson) on Thursday bared that his second attempt to win the presidency would be his last since he is retiring from public office.

FULL STORY: https://t.co/4NBl3zhNSO"
2022-05-05 23:52:46+00:00,"Solid po akong Bongbong Marcos

PROUD LOYALISTA AKO
#UnitedTwitterLoyalist
#BBMSARA2022"
2022-05-05 23:51:49+00:00,Bongbong Marcos: The man attempting to revive a corrupt political dynasty https://t.co/G560fTUDvf #NEWS https://t.co/A8KrSQzwMd
2022-05-05 23:51:19+00:00,President- Elect Leni Robredo cutie
2022-05-05 23:50:51+00:00,The campaign of Ferdinand “Bongbong” Marcos Jr. in the Philippine presidential race shows how carefully curated mythmaking and historical revision can shape an election. https://t.co/fX6CSAwgxF
2022-05-05 23:50:22+00:00,"Got dammit, one thing I hope I don't see is my country's name making the headlines in International News

What are the headlines? ""PH Election month, one of the candidates is Bongbong Marcos the son of Ferdinand Marcos the Dictator of Dekada 70s"" as what news outlets keep saying"
2022-05-05 23:50:00+00:00,"Top Agusan del Sur officials join Robredo in rally, as CARAGA support for Leni grows https://t.co/5ph5DVwEQ8"
2022-05-05 23:49:52+00:00,"Laban bikol ipakita natin ang suporta sa kandidato natin si Vp leni-kiko tandem kailangan nayin tumindig at lumaban para sa butihin natin Leni Gerona Robredo 💗💗💗
proudbikolanalangnamanpo💪💪💗💚💗💚💗💚💗💚💗💚💗💚 https://t.co/nDPSavFaK6"
2022-05-05 23:49:51+00:00,"I will say this again Birthday Gift nyo nalang sakin, manalo si Leni Robredo please lang mygahd 🌸💕"
2022-05-05 23:49:44+00:00,"them; why leni?

me: because… ang presidente? leni robredo! bise presidente? kiko pangilinan! let’s go 🦟🦗🦟🦗🦟🦗"
2022-05-05 23:49:04+00:00,"Para sa kanila ang maganda at malinis na gobyerno na dala ni Leni Robredo at Kiko Pangilinan

 #SorsogonIsPink https://t.co/zyO4L61uz8"
2022-05-05 23:47:46+00:00,"Bongbong Marcos Work hard in silence, let your success be your noise!!💚❤️"
2022-05-05 23:47:29+00:00,"Bongbong, el hijo del dictador Marcos, favorito en Filipinas https://t.co/7HwVm2KNNM"
2022-05-05 23:47:11+00:00,Thank you for supporting Isko Moreno Domagoso https://t.co/H9g7EUCS4Z
2022-05-05 23:47:05+00:00,"@DontMePlease3 haissst naalala ko yung isa sa vlog ni BBM with Sandro, isa na nasa google search ""bongbong marcos death"" my gosh 🤦‍♀️"
2022-05-05 23:47:02+00:00,"Bongbong, el hijo del dictador Marcos, favorito en Filipinas - https://t.co/khE7JKaq6T https://t.co/tI9FqJec3i"
2022-05-05 23:46:59+00:00,"When national leaders are misogynists, female opposition candidates are more likely to be belittled, sexualized, and disrespected. #PHVote #WeDecide 

Read this #FactsFirstPH study by Gaby Baizas: https://t.co/bnK7jJGr8z"
