Data of Tweet,Tweet Content
2022-05-06 23:59:27+00:00,"@barrygutierrez3 Salamat po Sir.
Dito pinakita natin na tigasin din ang Administration ni President Leni Robredo"
2022-05-06 23:59:16+00:00,Leni Robredo: The woman leading the Philippines' 'pink revolution' https://t.co/36aawqmMF3
2022-05-06 23:59:09+00:00,"Last Day of Campaigning, claiming that we will have these two Leni Robredo and Kiko Pangilinan to serve and lead us for the next 6 fruitful years. Mahal kong Pilipinas, Nawa'y ikaw naman ang Manalo. 🇵🇭✨

#Elections2022ph
#GobyernongTapatAngatBuhayLahat https://t.co/UoXuT7f4LT"
2022-05-06 23:59:05+00:00,#dzrhbiased undertaking a soft campaign interview for bongbong Marcos now that sounds like a valedictorian address without @lenirobredo participation.
2022-05-06 23:59:00+00:00,"#JusticeForFredAlba amateurs, it's an obvious ploy by bibi-im supporters to stop Leni Robredo. Don't fall for it, it's a trap."
2022-05-06 23:58:41+00:00,Leni Robredo: The woman leading the Philippines' 'pink revolution' https://t.co/5A45b1Q83O
2022-05-06 23:58:33+00:00,"Ano man ang resulta nitong eleksyon, we can't deny that Leni Robredo's term as VP is now the gold standard for the position. With less budget and no official mandate, she accomplished and helped a lot without any taint of corruption. No more blood-sucking spare tires, guys."
2022-05-06 23:58:21+00:00,Leni Robredo: The woman leading the Philippines' 'pink revolution' https://t.co/rQhrKwQalo #news #feedly
2022-05-06 23:58:19+00:00,"@inquirerdotnet Yes we will! At ang presidente ko ay si Leni Robredo.
At ang bise presidente??? Kiko Pangilinan! 
 #Respectfully #LeniKiko2022"
2022-05-06 23:58:00+00:00,@CoconutsManila thanks for the great article re #Philippines #disinformation #trolls #AI https://t.co/Zilr2Cez3c
2022-05-06 23:57:46+00:00,To Leni Robredo: Hindi ba kasinungalingan yang yellow ka pero nagtatago ka sa pink?
2022-05-06 23:57:31+00:00,"Today’s athlete is none other than Manny “Pac-Man” Pacquiao!!!! He is Filipino and has been one of the most decorated boxers in history as well as a a senator for the Philippines since 2016!!!!! 
#AsianHeritageMonth #Filipino #Philippines #PacMan #Boxing #Senator #ibtesports https://t.co/YTeStQLuxk"
2022-05-06 23:57:08+00:00,Hindi mo iboboto si Leni dahil sa mga supporters niya?? Di naman supporters ang tatakbo kundi si Leni Robredo herself gurl. Ang daming toxic na kakampink yes but I still go for Leni kasi siya ang tatakbo. Focus tayo sa goal for Good Governance https://t.co/EhrBs0dboQ
2022-05-06 23:56:02+00:00,"Mananalo tayo!
President LENI ROBREDO
VP KIKO PANGILINAN

In Jesus name..🙏 https://t.co/aKX0lAv33G"
2022-05-06 23:55:36+00:00,@DZMMTeleRadyo @zenhernandez @IanEsguerra CYBER TERRORISM SA MGA KUMAKALABAN SA KAKAM-PINK &amp; KAY MADAM VP LENI GERONA ROBREDO.
2022-05-06 23:55:00+00:00,"@lenirobredo Naga, hiramin muna namin si leni robredo ng six years. Nakakainggit kayo, ang sarap siguro ng pakiramdam maging bicolano ngayon. #NagaIsPink"
2022-05-06 23:54:48+00:00,KAHIT HINDI NA AKO MAGKAJOWA FOR 6 YRS MANALO LANG SI LENI ROBREDO
2022-05-06 23:54:47+00:00,"I cringe while watching this. Why I am voting Anyone But Leni!

Message of Philippines Vice President Leni Robredo on Extrajudicial Kill... https://t.co/oaOnqLhiQ5 via @YouTube"
2022-05-06 23:54:42+00:00,Hundreds are already gathered along Ayala Avenue for Leni Robredo’s final campaign rally this evening (photo taken just before 6am) https://t.co/9s9sWeYGeB
2022-05-06 23:54:41+00:00,https://t.co/ZfdjAum6ks
2022-05-06 23:53:49+00:00,Saludo kina Ate Girlie at Kuya Tyrone na umuwi galing Singapore para suportahan sina President Leni Robredo at Vice-President Kiko Pangilinan! Mabuhay ang mga bayaning OFW!👏🏽🌷💗🌸 #MakatiIsPink #ManilaPen https://t.co/W1UlkUIvjv
2022-05-06 23:53:08+00:00,"Our next President of the Republic of the Philippines is the one and the only Pres. Leni Robredo.

Manifesting🙏🙏🙏"
2022-05-06 23:52:22+00:00,My vote this election will go to VP LENI ROBREDO!
2022-05-06 23:51:43+00:00,"EXCITED NA ANG MGA KA UNITEAM SA NCR!
PULA ANG PILIPINAS ❤️💚❤️💚
ROAD TO MALACAÑANG
PRESIDENT BONGBONG MARCOS
#BringBackMarcos
#MarcosDuterte2022
#PROTECTBBMSARA https://t.co/ke7qpfQeLc"
2022-05-06 23:51:30+00:00,@lesyyeuxdeninii LENI ROBREDO!✨✨
2022-05-06 23:51:19+00:00,"Kalmado ako, girl. Mananalo si VP Leni Robredo. Ang taong bayan ang magdedesisyon nyan, hindi ang perang napapamigay. 😊"
2022-05-06 23:51:11+00:00,"May kinilig talaga dito eh. Mam sa dulo po pila 😃 Wala pong pres Presidenr Leni Robredo sa pila
ctto piolo pascual
 #MakatiIsPink https://t.co/tsAtWSn3iA"
2022-05-06 23:50:47+00:00,"Leni Robredo is our next President.
Kiko Pangilinan is our next Vice President.
Manifesting and Claiming! 💗🌸🌷🎀🫰🏼
#LetLeniKikoLead 
#AngatBuhayLahat 
#KakamPink"
2022-05-06 23:49:42+00:00,"""Ako ay tumitindig para sa kay Leni Robredo""

#Ipana7oNa10ParaSaLahat 
#LeniKiko2022 
#LeniIsOurPresident https://t.co/fufXpw8nsb"
2022-05-06 23:49:37+00:00,✨✨✨LORD UNIVERSE I AM HOPING PRAYING WISHING MANIFESTING THAT THE NEXT PRESIDENT AND VICE PRESIDENT OF TH3 PHILIPPINES WILL BE LENI ROBREDO AND KIKO PANGILINAN✨✨✨ https://t.co/3xS1mgSdF2
2022-05-06 23:48:52+00:00,"I took The Blind Test and my top candidate is Leni Robredo.

 https://t.co/FGlIsSeVCh"
2022-05-06 23:48:46+00:00,"2022 PHILIPPINE ELECTION: MANILA- ‘Liar from the beginning till end’ – Leni on Bongbong
/
MANILA – MAY 01: VP Leni Robredo addresses the crowdon May 1, 2022 in Manila, Philippines. Robredo hits back at the disinformation from the Marcos camp branding Bongbong a “liar”. https://t.co/27oGGgzwOq"
2022-05-06 23:48:03+00:00,"Blue-tick Twitter seems to be mostly championing Leni Robredo in the Philippines election, so I instinctively feel a Bongbong Marcos presidency must be best for the rest of the world."
2022-05-06 23:47:35+00:00,@DZMMTeleRadyo @zenhernandez @IanEsguerra KALABAN NG KAKAM-PINK D MARUNONG LUMABAN NG PAREHAS...PURO MGA FAKEs ANG GINAGWA...WLA CLANG MGA MALINIS NA ISIP PUSO &amp; CONCIENCE...BAHALA NZ PAPA GOD KAY MADAM VP LENI GERONA ROBREDO NA SAMAHAN SA MALINIS NA ELECTION...
2022-05-06 23:47:25+00:00,✨President Leni Robredo cutie✨
2022-05-06 23:46:54+00:00,"Burger kayo saamin. ✌️👊
PULA ANG PILIPINAS ❤️💚❤️💚
ROAD TO MALACAÑANG
PRESIDENT BONGBONG MARCOS
#BringBackMarcos
#MarcosDuterte2022
#PROTECTBBMSARA https://t.co/cxX9VSmalC"
2022-05-06 23:46:54+00:00,"Supreme Court ang nagsabi na may ill-gotten wealth ang pamilyang Marcos. Kung ayaw isauli ni Bongbong Marcos ang ninakaw ng kanyang magulang, isa na rin siyang magnanakaw. https://t.co/zNz1xmooqB"
2022-05-06 23:46:42+00:00,"Leni Robredo Oragon personified 💪🏼😉
#Bicolana #Pilipina 🇵🇭 https://t.co/MobkruYdJ2"
2022-05-06 23:44:29+00:00,"2 DAYS TO GO | 10 LENI ROBREDO

#Ipana7oNa10ParaSaLahat 
#LeniKiko2022 
#GobyernongTapatAngatBuhayLahat https://t.co/xhY1IFaLm9"
2022-05-06 23:43:51+00:00,"@drt_19 @COMELEC @barrygutierrez3 Andrew R. Amosco 

WATCH:
--PRE-SHADED SA PANDARAYA SA MAGUINDANAO,,  SI LENI ROBREDO LAMANG ANG NILALAMAN NG MGA BALOTA/ NASHEDAN,,  

https://t.co/VgkbrwG9lr"
2022-05-06 23:43:50+00:00,"Marcos Jr atau yang dikenal sebagai Bongbong, putra mantan diktator Filipina Ferdinand Marcos, unggul jauh atas pesaing-pesaingnya. Pemungutan suara akan digelar pada 9 Mei 2022. #Internasional #AdadiKompas
https://t.co/PD5Ks0F4Ry"
2022-05-06 23:43:23+00:00,"@junleebee Ang presidente Leni Robredo! 🌸
Bise Presidente Kiko Pangilinan! 🌾"
2022-05-06 23:42:58+00:00,@iampinglacson PING LACSON ANG PRESIDENTE NG MGA PILIPINO. NUMERO 5 SA BALOTA. https://t.co/ixoqGGQrYT
2022-05-06 23:42:45+00:00,"#NewProfilePic 
PRESIDENT LENI ROBREDO NEXT WEEK CUTIE https://t.co/maV4yqei1Z"
2022-05-06 23:42:22+00:00,Religious groups gather along Ayala Avenue in the Philippines’ financial district of Makati hours before Leni Robredo is set to deliver a speech for her final campaign rally https://t.co/4DfJddAmu0
2022-05-06 23:42:05+00:00,"Day7/9 Prayer for the Philippine Elections 2022
Lord, please let the good &amp; qualified people win the Presidential &amp; Vice Presidential seats. Let Madam Leni Robredo &amp; Sir Kiko Pangilinan win thru the intercession of our Virgin Mary. Claiming it in Jesus name, Amen."
