Data of Tweet,Tweet Content
2021-10-08 23:59:09+00:00,"LOOK: Beautiful Ladies inside and out Janella Salvador, Nadine Lustre and Liza Soberano showing support for VP Leni Robredo’s presidential candidacy 🌸💗🌺

THE POWER! @superjanella x @hello_nadine x @lizasoberano

#LabanLeni2022 #LetLeniLead 💖🎀 https://t.co/m0vCiFAHOu"
2021-10-08 23:59:08+00:00,PLS PLS PLS DON'T CONNECT ALL COLOR PINK YOU SEE TO LENI ROBREDO!!!!!!!!
2021-10-08 23:58:57+00:00,"@dearmistermuse Bongbong Marcos, Isko Moreno, Ping Lakson, and Leni Robredo"
2021-10-08 23:57:50+00:00,"Supporters ni VP Leni Robredo, nag motorcade sa Quezon City. Nagtungo sila sa tanggapan ng OVP. #Halalan2022 https://t.co/YSA4bTjkJ6"
2021-10-08 23:57:27+00:00,"Ayuda para sa lahat ni Aling Leni Robredo
A)
1. Lugaw na walang kahit isang itlog.
2. Isang platong anemic na Spaghetti.
3. Chicharon na walang kasamang kahit suka.
4. Sampong pirasong Nipa para sa aso ninyo https://t.co/s1wks5IM9h"
2021-10-08 23:57:17+00:00,"Kung hindi kasalanan ng anak ang mga nagawa ng ama, bakit niyo sinisisi si Leni Robredo sa mga kasalanan ng mga Aquino? Y'all need to come up with a better arguement versus an almost spotless candidate. #LetLeniLead2022 #LBM2022"
2021-10-08 23:57:15+00:00,@pagusapanatinph @DapatSiLeni @avahley:https://t.co/YDY1WU7qaL
2021-10-08 23:56:19+00:00,"FUTURE PUPPET NG MGA OLIGARCHS AT DRUGLORD! Leni Robredo Withdraw! 
#BBMikawAngPresidenteKo2022  #MarcosForPresident #LetLeniLeave2022 https://t.co/dDO2uRELMc"
2021-10-08 23:56:02+00:00,"Verrrry interesting that @IskoMoreno No. 3 in Pulse Asia survey, is hitting @lenirobredo , No. 6 in same survey, and NOT Bongbong Marcos, no. 2 in the survey. Usually, as a candidate, your aim is to dislosdge the person w/ a higher rating, not a lower one 🤔"
2021-10-08 23:54:53+00:00,"Eto ang totoo
Sa lahat ng kandidato
Sa pagkapangulo
Walang korupsyon
Na maibabato
Kay Leni Robredo.

#WithdrawIsko
🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀🎀
#LeniRobredo2022 
💝💝💝💝💝💝💝💝💝💝💝"
2021-10-08 23:54:31+00:00,BONGBONG MARCOS SINARA NA ANG PINTO SA ICC! CONTINUITY NG DUTERTE LEGACY... https://t.co/3VdThJWSFr via @YouTube
2021-10-08 23:54:08+00:00,"This clearly shows that VP Leni is a threat to them. Remind ko lang kayo Yorme Isko Moreno and Mr. Atienza, kasama din po si Bongbong Marcos at Bato sa presidential aspirants. Lol. At the end of the day, the last man standing is a woman talaga.

#LetLeniLead2022 https://t.co/IVwOnF6Ui0"
2021-10-08 23:52:41+00:00,"Borrowing this from my favorite TV show #TedLasso 

My president is :

Leni Robredo . Independent 

#LabanLeni2022 #LeniforPresident2022 #LetLeniLead https://t.co/x0VN1wfsi7"
2021-10-08 23:52:07+00:00,"Sino ngayon ang tanso? #votebetterin2022
 https://t.co/qaYAKHYxgu"
2021-10-08 23:50:36+00:00,@Maki_Lance @ABSCBNNews Bongbong marcos ❤️💖
2021-10-08 23:50:13+00:00,"A day after Leni Robredo painted the town pink, Isko Moreno has revealed his true colors. His decision to side with the Marcoses, use Duterte's rhetoric, and bash Leni of all people has disqualified him from being part of the opposition."
2021-10-08 23:49:17+00:00,Bongbong Marcos is my President in 2022 https://t.co/uqVpWRklVp
2021-10-08 23:46:22+00:00,@paps_345 Gogogow bongbong marcos
2021-10-08 23:46:16+00:00,"EDITORIAL: Vice President Leni Robredo has opened herself to public scrutiny over her performance during her lackluster term.

READ MORE: https://t.co/NdurvGLyAX https://t.co/By3OofaPPw"
2021-10-08 23:46:07+00:00,"EDITORIAL: Vice President Leni Robredo has opened herself to public scrutiny over her performance during her lackluster term.

READ MORE: https://t.co/fc5JRtZeQ0 https://t.co/vW0aVDelY3"
2021-10-08 23:45:48+00:00,"how do people even have the audacity not to recognize and acknowledge the works of Hidlyn Diaz, Leni Robredo, and Maria Ressa !!!!!!! the future is PINK!!!!!! the future is so, so very female! 🎀"
2021-10-08 23:45:00+00:00,"Former senator Antonio Trillanes IV on Friday said Manila Mayor Isko Moreno Domagoso has finally shown his ""true face"" after the latter called Vice President Leni Robredo a ""fake leader."" #Halalan2022 

https://t.co/4HXgyDo3S3"
2021-10-08 23:38:04+00:00,@PatriotLogan Si ISKO ay instrumento ng mga Marcos at Duterte para SIRAIN si Leni Robredo. Isa syang Oppurtunist BABABALA: HUWAG INOTO SI ISKO WALA SYA PANININDIGAN
2021-10-08 23:34:43+00:00,"@ABSCBNNews Go,,,go,,,pres,Leni robredo"
2021-10-08 23:34:15+00:00,"Ah, terrific pic. ""VP Leni Robredo on Jigs Mayuga’s makeup chair. Makeup and photo by Jigs Mayuga. Hair by G Mande. Styled by Rainier Dagala and Em Millan"" https://t.co/ynm9O7RXNX"
2021-10-08 23:31:43+00:00,Friend ko yung mga teacher ko sa college tas mostly mga marcos apologist at bbm tapos ako eto binabaha sila ng sharedpost tungkol kay leni at ang zero achievement ni bongbong HAHHAHAB
2021-10-08 23:31:08+00:00,"Malungkot sa pagpanaw ng CHR chair Chito Gascon. Gayunman, gusto kong isipin na naging mapayapa ang pagtawid niya dahil sa mga balita ng demokrasya't pag-asa nitong huling mga araw: Ang pagtakbo ni Leni Robredo, at Nobel ni Maria Ressa. Tuloy ang laban para sa katarungan, Sir!"
2021-10-08 23:31:00+00:00,"Ilonggos in the city woke up Friday, October 8, 2021 to pink ribbons and cars donned with tarpaulins and flyers expressing support for Vice President Leni Robredo’s 2022 presidential bid.
https://t.co/KumqjxTnCg"
2021-10-08 23:30:47+00:00,"Hindi ""dilawan"" si Leni Robredo. Pink siya, bale nag evolve na siya as pulang itlog.😐 nice👍 https://t.co/91vTvYy0LH"
2021-10-08 23:30:22+00:00,"• Nagpaulan ng batikos si Manila Mayor Isko Moreno Domagoso kay Vice President Leni Robredo, na makatutunggali niya sa pagkapresidente sa eleksyon. 

https://t.co/qTH1A9LK9D"
2021-10-08 23:27:43+00:00,pag nanalo si Leni Robredo lilipat nalang akong Mars shutaHAHAHAHAHA
2021-10-08 23:25:26+00:00,"@ANCALERTS @IskoMoreno @lenirobredo @_katrinadomingo how can u put up with this shit talker Ma'am @GutocSamira? isa sya sa tumatawa at tinatawag n nainidoro kayo.ang mga tinatawag nyang yellowtards ay mga pilipino na sawa na sa dictadurya,sa paghihirap, sa pangaapi. Leni Robredo runs for us Filipinos. not ths TRAPO that u run with"
2021-10-08 23:23:07+00:00,@ANCALERTS #NoToIskoMoreno Yes to Leni Robredo!
2021-10-08 23:23:02+00:00,"Hoyeon Jung, Squid Game star, reveals in a recent interview to Vogue Korea that lately she’s been obsessed with VP Leni Robredo

“I just think she's someone the Philippines needs right now, whenever I see her my mood changes for the better"" https://t.co/2qcluFgKKN"
2021-10-08 23:22:30+00:00,"Kaya galit na galit sila sa Pink Color ni Leni Robredo, kasi nagkalat ngayon ang Pink sa facebook, twitter, instagram etc! Spell threatened?"
2021-10-08 23:21:06+00:00,Leni Robredo
2021-10-08 23:20:16+00:00,Tangina di ko magets yung hate kay leni robredo. Dahil ba dun sa lugaw? O dahil dilaw yung dating partido na sinalihan nya? Dahil ba sa marami siyang nagawang mabuti sa gitna ng pandemya at natatabunan na yung iba jan? Ano? Wtf people
2021-10-08 23:19:11+00:00,Buti nalang di natuloy ang tandem nila ni Leni Robredo!🙌
