Data of Tweet,Tweet Content
2022-04-03 23:59:19+00:00,"Ang Tatanglaw sa Buong Bayan, iLaw ng Tahanan VP Leni Robredo 💖💖💖 #LeniKikoAllTheWay #TropangAngat #KulayRosasAngBukas #GobyernongTapatAngatBuhayLahat #MyVoteisPink 💗💗💗💓💓💓💕💕💕 https://t.co/z5cs3HUJnh"
2022-04-03 23:58:14+00:00,Napaka ganda ng ating magiging Pangulo VP Leni Robredo mabuhay po kayo! https://t.co/zMaT6YyddT
2022-04-03 23:56:49+00:00,"Ngayong darating na halalan ang tatanglaw sa buong bayan, ilaw ng tahanan.
- VP Leni Robredo
#10RobredoForPresident #TaraNaKayLeni"
2022-04-03 23:56:23+00:00,"While Senator Manny Pacquiao and Manila Mayor Isko Moreno said Senator Leila de Lima should be allowed to exercise her right to defend herself in court,  labor leader Leody de Guzman insists the senator should be freed. | @zacariansINQ https://t.co/h8AIlapLSb"
2022-04-03 23:53:59+00:00,@riridooly @pldt Aaaw! Pero dapat i-hype yung greetings ni VP Leni Robredo sa #BinJin. It's from the Vice President of the Philippines lang naman!
2022-04-03 23:53:05+00:00,"#TaraNaKayLeni 

Leni Robredo. President
Kiko Pangilinan. Vice President
#LeniKiko2022 #LeniKikoTeam2022 #LeniForPresident2022 #LeniRobredo2022 #LeniKikoAllTheWay #LetLeniLead #TaoSaTaoParaKayRobredo https://t.co/c1SWcoXeiK"
2022-04-03 23:52:34+00:00,"VP LENI ROBREDO, WHO HAS NEVER SKIPPED ANY CREDIBLE DEBATE OR PRESIDENTIAL FORUM ✨✨✨ https://t.co/XLcVy3x9mL"
2022-04-03 23:50:00+00:00,"Ferdinand ""Bongbong"" Marcos Jr. shook his head and walked away when asked if he'll attend the Commission on Elections (Comelec)'s second presidential debate on April 3. #Elections2022

https://t.co/WuU4jW1ko2"
2022-04-03 23:49:03+00:00,"I think @lenirobredo did very well again in #PiliPinasDebates2022 - she was dignified, on point &amp;  exuded “humble leadership.” I also liked the pin she wore!💗😀 The sincere &amp; genuine desire for  change of Sec. Norberto Gonzales  throughout the debate was also very refreshing!👍 https://t.co/SMOJEdzYN7"
2022-04-03 23:46:25+00:00,"News: As presidential candidate Bongbong Marcos skipped the Comelec presidential debate tonight, he attended a meeting with local chief executives and was joined by 9 governors from different provinces.

BBM Supporter: Tae, ang lakas! 🖤🔥

anong malakas dyan di nga umattend????"
2022-04-03 23:45:04+00:00,"Stalwarts from the Nationalist People’s Coalition (NPC) in Tarlac have endorsed the UniTeam tandem of ex-senator Ferdinand “Bongbong” Marcos Jr. and Davao City Mayor Sara Duterte for president and vice president, respectively, in the 2022---
Read it here👇
https://t.co/0aBhN5TJkt https://t.co/vsZIw4D68p"
2022-04-03 23:45:00+00:00,"Partido Federal ng Pilipinas (PFP) standard-bearer Bongbong Marcos held a meeting with at least nine incumbent governors and one ranking House of Representatives member on Sunday night, April 3 at his campaign headquarters in Mandaluyong City.

https://t.co/ahNbLGO82b"
2022-04-03 23:44:24+00:00,"EXPERTS who did not get their degrees on Fb nor Twitter. 😁

""TAX and legal experts are convinced that presidential candidate Ferdinand ""Bongbong"" Marcos Jr. cannot be faulted for his family's failure to settle its estate tax liabilities.""

https://t.co/UQJQkRXflU"
2022-04-03 23:44:02+00:00,"All ends are telling. The last man standing is a woman, is still a woman at sa darating na halalan, atin ng ilaban, ilaw ng tahanan. Liliwanag ang bukas.
VP Leni Robredo #LeniKikoAllTheWay #LeniForPresident2022 https://t.co/eRtmnpFgYW"
2022-04-03 23:44:01+00:00,"Tugon ni VP Leni Robredo sa pahayag ng kampo ni BBM na ang nakunang di umano namimgay ng pera sa Tarlac sortie ng UniTeam ay mula sa kanilang kampo. | via @KathForbes_RP1 

#HatolNgBayan2022 https://t.co/kjyM8gBs8L"
2022-04-03 23:41:36+00:00,it’s surprising seeing friends of my friends (who will vote for blemblong) will vote for leni robredo 💀💀💀
2022-04-03 23:41:11+00:00,Coach Yeng on surviving the '70s: 'Sobrang hirap ng martial law para sa amin' https://t.co/egRCir8LZL via @SpinPh
