Data of Tweet,Tweet Content
2022-02-27 23:59:45+00:00,"this tweet!!

I agree and we should not underestimate his intelligence! Saludo sa kanya kasi matapang din siya.

He called out Bongbong Marcos for not attending the debate 😂

Both Vice Presidential and Presidential debate, called out Sara and Bongbong. Cowards 🤣 https://t.co/dt9i8TwXuQ"
2022-02-27 23:59:05+00:00,"What do you want atty the mind conditioning of the Mainstream Media? It is clear from the surveys that even if you slander Bongbong Marcos the public no longer believes what Rappler, ABS CBN etc are reporting. The public knows the truth and it show in surveys. Kaya Manigas ka! https://t.co/d1xSuFK4HE"
2022-02-27 23:57:25+00:00,"Leni Robredo's ""system"" is the Roman Catholic Church. It's their job to keep the flock ""good"". 
#CNNPHPresidentialDebate https://t.co/kgMCRjaMgI"
2022-02-27 23:57:19+00:00,"NAUR LENI ""MINAJ"" ROBREDO 😭😭😭 https://t.co/5hrNn9CATl"
2022-02-27 23:56:49+00:00,"Kapag kusa at bukal sa loob ang pagsuporta ay masaya talaga. Fiesta atmosphere lagi ang mga supporters ni VP Leni Robredo. Alam nila kasi gaganda ang buhay sa pamumuno ni Leni.

Samantalang ang mga supporters ni Marcos Jr parang nasa lamayan. Mukhang mga namatayan na nagluluksa. https://t.co/QOhu3LIVCw"
2022-02-27 23:54:59+00:00,"@sotto_tito Oh come on, VP Leni Robredo is one of the most visible public official during the time of pandemic. She managed to help even with limited budget. Why discredit good deeds? Mas nararamdaman ko presence ni VP Leni kaysa sa iyo. #RealTalk lang po tayo. https://t.co/8nG02kK9Uo"
2022-02-27 23:54:08+00:00,And while you're here... we're not voting for Leni Robredo because she's a woman. We're voting for her because she can and will be a good and competent president.
2022-02-27 23:53:59+00:00,"@themonent0 @boochanco Leni Robredo certainly. She has proven that even with an adversarial President who puts her down at every opportunity, she has stuck to her goals of helping the poorest of the poor. Her office pursued its own goals and showed compassion and equal treatment for all parties."
2022-02-27 23:53:32+00:00,"Good educational background. ✔ 
With experience. ✔ 
With expertise handling the police scalawags when he was the PNP chief. ✔ 
And the most important thing, you can assure that this man is NOT CORRUPT. (Never tumanggap ng pork barrel yan) ✔ 

I stand for Ping Lacson. 💚 https://t.co/8RbND45Kna"
2022-02-27 23:53:12+00:00,"PINAKA SUBOK.
PINAKA HANDA.
PINAKA MATAPANG.
PINAKA MAY PUSO.

Walang ibang mas karapatdapat.

SI LENI ROBREDO ANG SUSUNOD NA PANGULO NG PILIPINAS!

Maraming salamat po sa lahat ng mga sumuporta sa CNN Presidential Debate! 

IPANALO NA 10 TO

#IpanaloNa10To #10RobredoPresident"
2022-02-27 23:51:47+00:00,i just hope that Ping Lacson was the one competing with VP leni but unfortunately lol https://t.co/OUTh2es19Y
2022-02-27 23:48:10+00:00,"Sen. Ping Lacson said Filipinos may feel the pain of the escalating conflict between Russia and Ukraine on the prices of basic commodities and services, which are always affected whenever oil prices are going up due to the costs of transportation.  https://t.co/ayTu87USUe"
2022-02-27 23:46:37+00:00,Ping Lacson is one of the principal authors of Anti-Terror Law. Huwag na huwag tayong makakalimot.
2022-02-27 23:46:34+00:00,"Again, @risahontiveros &amp; #146Akbayan will lead our fight for the Divorce Law in the legislature. Sa dulo, ang kailangan ay mambabatas na advocate kasama ng isang Pangulong marunong makinig.

Risa Hontiveros is my Senator, Akbayan is my Partylist, and Leni Robredo is my President."
2022-02-27 23:45:00+00:00,"""Susuotan natin ng tsinelas..."" -Leni Robredo https://t.co/9Zl97SA7lF"
2022-02-27 23:44:38+00:00,@itotaboutit @randy_camba ok we can respect you if you vote for ping lacson. Atleast he's worth it.
2022-02-27 23:44:22+00:00,"If y’all still ask me why her? THIS IS WHY. This is my stand, LENI ROBREDO IS MY PRESIDENT 🌸 https://t.co/Ki6pHlXDwP"
2022-02-27 23:43:50+00:00,@AdamRicodeGuzm1 @ChiCelzoPP @lenirobredo I had a steno subject back in high school..mahirap sya..wala na nga akong natandaan haha..iba talaga ang President Leni Robredo ng Pilipinas 💖
2022-02-27 23:43:03+00:00,"I have to give credit to Leni Robredo naman, at least alam nya kung sino ang tunay na kalaban. Yung hinde kaya humarap sa mga tao eh totoo namang walang respeto. I know you BBM fans are annoyed from bashing, but obviously BBM is not worth it at all."
2022-02-27 23:42:45+00:00,Hmmm Ping Lacson for DND?
2022-02-27 23:41:47+00:00,"OUR PRESIDENT LENI ROBREDO..
Happy Monday mga #Kakampink 
#GobyernongTapatAngatBuhayLahat 
#LeniKikoAllTheWay https://t.co/6rlm1Ki8Ps"
